监测点编码,监测点名称,城市,经度,纬度,省份
1001A,万寿西宫,北京,116.366,39.8673,北京
1002A,定陵,北京,116.17,40.2865,北京
1003A,东四,北京,116.434,39.9522,北京
1004A,天坛,北京,116.434,39.8745,北京
1005A,农展馆,北京,116.473,39.9716,北京
1006A,官园,北京,116.361,39.9425,北京
1007A,海淀区万柳,北京,116.315,39.9934,北京
1008A,顺义新城,北京,116.72,40.1438,北京
1009A,怀柔镇,北京,116.644,40.3937,北京
1010A,昌平镇,北京,116.23,40.1952,北京
1011A,奥体中心,北京,116.407,40.0031,北京
1012A,古城,北京,116.225,39.9279,北京
1013A,市监测中心(停运150702),天津,117.151,39.097,天津
1014A,南口路(停运161122),天津,117.193,39.173,天津
1015A,勤俭道,天津,117.145,39.1654,天津
1016A,南京路(停运160601),天津,117.184,39.1205,天津
1017A,大直沽八号路,天津,117.237,39.1082,天津
1018A,前进道,天津,117.202,39.0927,天津
1019A,淮河道,天津,117.1837,39.2133,天津
1020A,天山路(停运150702),天津,117.269,39.1337,天津
1021A,跃进路,天津,117.307,39.0877,天津
1022A,梅江小区(停运150702),天津,117.221,39.06,天津
1023A,第四大街,天津,117.707,39.0343,天津
1024A,永明路,天津,117.457,38.8394,天津
1025A,航天路(停运170426),天津,117.401,39.124,天津
1026A,汉北路,天津,117.764,39.1587,天津
1027A,团泊洼(对照点),天津,117.157,38.9194,天津
1028A,化工学校,石家庄,,,河北
1029A,职工医院,石家庄,114.4548,38.0513,河北
1030A,高新区,石家庄,114.6046,38.0398,河北
1031A,西北水源,石家庄,114.5019,38.1398,河北
1032A,西南高教,石家庄,114.4586111,38.00583333,河北
1033A,世纪公园,石家庄,114.5330556,38.01777778,河北
1034A,人民会堂,石家庄,114.5214,38.0524,河北
1035A,封龙山,石家庄,114.3541,37.9097,河北
1036A,供销社,唐山,118.1662,39.6308,河北
1037A,雷达站,唐山,118.1440,39.6430,河北
1038A,物资局,唐山,118.1853,39.6407,河北
1039A,陶瓷公司,唐山,118.2185,39.6679,河北
1040A,十二中,唐山,118.1838,39.65782,河北
1041A,小山,唐山,118.1997,39.6295,河北
1042A,北戴河环保局,秦皇岛,119.5259,39.8283,河北
1043A,第一关,秦皇岛,119.7624,40.0181,河北
1044A,监测站,秦皇岛,119.6023,39.9567,河北
1045A,市政府,秦皇岛,119.6070,39.9358,河北
1046A,建设大厦,秦皇岛,119.5369,39.9419,河北
1047A,环保局,邯郸,114.5129,36.61763,河北
1048A,东污水处理厂,邯郸,114.5426,36.6164,河北
1049A,矿院,邯郸,114.5035,36.5776,河北
1050A,丛台公园,邯郸,114.4965,36.61981,河北
1051A,游泳馆,保定,115.4930,38.8632,河北
1052A,华电二区,保定,115.5223,38.8957,河北
1053A,接待中心,保定,115.4713,38.9108,河北
1054A,地表水厂,保定,115.4612,38.8416,河北
1055A,胶片厂,保定,115.4420,38.8756,河北
1056A,监测站,保定,115.5214,38.8707,河北
1057A,人民公园,张家口,114.8985,40.8367,河北
1058A,探机厂,张家口,114.892,40.79481,河北
1059A,五金库,张家口,114.8814,40.8115,河北
1060A,世纪豪园,张家口,114.9032,40.7688,河北
1061A,北泵房,张家口,114.9040,40.8725,河北
1062A,铁路,承德,117.9664,40.9161,河北
1063A,中国银行,承德,117.9525,40.9843,河北
1064A,开发区,承德,117.9630,40.9359,河北
1065A,文化中心,承德,117.8184,40.9733,河北
1066A,离宫,承德,117.9384,41.0112,河北
1067A,药材公司,廊坊,116.6838,39.5178,河北
1068A,开发区,廊坊,116.7729,39.5747,河北
1069A,环境监测监理中心,廊坊,116.7150,39.5571,河北
1070A,北华航天学院,廊坊,116.7464,39.5343,河北
1071A,沧县城建局,沧州,116.8854,38.2991,河北
1072A,电视转播站,沧州,116.8584,38.3254,河北
1073A,市环保局,沧州,116.8709,38.3228,河北
1074A,电机北厂,衡水,115.6951,37.7575,河北
1075A,市监测站,衡水,115.6426,37.7379,河北
1076A,市环保局(181124停用),衡水,115.6906,37.7390,河北
1077A,达活泉,邢台,114.4821,37.0967,河北
1078A,邢师高专,邢台,114.5261,37.0533,河北
1079A,路桥公司,邢台,114.5331,37.0964,河北
1080A,市环保局,邢台,114.4854,37.0620,河北
1081A,尖草坪,太原,112.522,37.8873,山西
1082A,涧河(已停用),太原,112.573,37.9103,山西
1083A,上兰(对照点),太原,112.434,38.0108,山西
1084A,晋源,太原,112.469,37.7124,山西
1085A,小店,太原,112.5583,37.7394,山西
1086A,桃园,太原,112.5369,37.8692,山西
1087A,坞城,太原,112.57,37.8195,山西
1088A,南寨,太原,112.549,37.9854,山西
1089A,金胜,太原,112.4783,37.7778,山西
1090A,呼市一监,呼和浩特,111.651,40.7579,内蒙古
